timestamp,bid,ask
2024-01-01T09:00:00,1.0850,1.0852
2024-01-01T09:00:01,1.0851,1.0853
2024-01-01T09:00:02,1.0852,1.0854
2024-01-01T09:00:03,1.0853,1.0855
2024-01-01T09:00:04,1.0854,1.0856
2024-01-01T09:00:05,1.0855,1.0857
2024-01-01T09:00:06,1.0856,1.0858
2024-01-01T09:00:07,1.0857,1.0859
2024-01-01T09:00:08,1.0858,1.0860
2024-01-01T09:00:09,1.0859,1.0861
2024-01-01T09:00:10,1.0860,1.0862
2024-01-01T09:00:11,1.0859,1.0861
2024-01-01T09:00:12,1.0858,1.0860
2024-01-01T09:00:13,1.0857,1.0859
2024-01-01T09:00:14,1.0856,1.0858
2024-01-01T09:00:15,1.0855,1.0857
2024-01-01T09:00:16,1.0854,1.0856
2024-01-01T09:00:17,1.0853,1.0855
2024-01-01T09:00:18,1.0852,1.0854
2024-01-01T09:00:19,1.0851,1.0853
2024-01-01T09:00:20,1.0850,1.0852
