2024-01-01T09:00:00,1.0800,1.0802
2024-01-01T09:00:01,1.0801,1.0803
2024-01-01T09:00:02,1.0802,1.0804
2024-01-01T09:00:03,1.0803,1.0805
2024-01-01T09:00:04,1.0805,1.0807
2024-01-01T09:00:05,1.0807,1.0809
2024-01-01T09:00:06,1.0809,1.0811
2024-01-01T09:00:07,1.0808,1.0810
2024-01-01T09:00:08,1.0806,1.0808
2024-01-01T09:00:09,1.0804,1.0806
2024-01-01T09:00:10,1.0802,1.0804
2024-01-01T09:00:11,1.0799,1.0801
2024-01-01T09:00:12,1.0797,1.0799
2024-01-01T09:00:13,1.0795,1.0797
2024-01-01T09:00:14,1.0794,1.0796
2024-01-01T09:00:15,1.0793,1.0795
2024-01-01T09:00:16,1.0795,1.0797
2024-01-01T09:00:17,1.0797,1.0799
2024-01-01T09:00:18,1.0799,1.0801
2024-01-01T09:00:19,1.0801,1.0803
2024-01-01T09:00:20,1.0803,1.0805
2024-01-01T09:00:21,1.0805,1.0807
2024-01-01T09:00:22,1.0807,1.0809
2024-01-01T09:00:23,1.0809,1.0811
2024-01-01T09:00:24,1.0810,1.0812
2024-01-01T09:00:25,1.0808,1.0810
2024-01-01T09:00:26,1.0806,1.0808
2024-01-01T09:00:27,1.0804,1.0806
2024-01-01T09:00:28,1.0802,1.0804
2024-01-01T09:00:29,1.0800,1.0802
